rank,mlb_player_id,full_name,current_age,primary_position,current_team,highest_level_name,total_milb_pa,pred_mlb_wrc_plus,pred_mlb_woba,pred_mlb_avg_ops,composite_score,weighted_prospect_score
442,690469,Kyle Hayes,28.0,C,,AAA,350.0,-0.470109605238843,0.01741471832086262,0.0414636150496729,1.3340714387172048,0.7374743874506013
443,688005,Francisco Urbaez,27.98631074606434,2B,,AAA,1344.0,2.4273862054250075,0.008409692687875106,0.020023077828274057,1.3197440814089745,0.7327504436714755
444,802135,Braden Barry,23.668720054757017,OF,,AAA,324.0,1.270359956221015,0.004916017202541905,0.011437982949775103,1.3050466367225608,1.0465016011202573
445,677572,Alvaro Gonzalez,25.059548254620122,SS,,AAA,358.0,0.8587372447753208,0.007843750285621398,0.018675595918146184,1.2776950832388643,0.7697838091290438
446,681580,Michael Turconi,26.29158110882957,SS,,AAA,940.0,1.5423913729269794,0.006161551165383342,0.014670214500768592,1.2760177351995257,1.2064615773572993
447,669360,Trei Cruz,27.260780287474333,SS,,AAA,2039.0,1.2818604369857385,0.008352973504508681,0.0198880321535921,1.2748062862440097,1.2224528270786394
448,680994,Nick Biddison,25.190965092402465,RF,,AAA,965.0,0.8543597440907511,0.006665103185347014,0.015869293298445275,1.2615760584862648,1.3037716596431994
449,668558,Juan Zabala,26.26694045174538,C,,AAA,802.0,-3.714560191927639,0.019521980722318005,0.04648090648170952,1.2584085848810664,2.564015278365556
450,661541,Donovan Casey,29.623545516769337,RF,,AAA,706.0,-2.5745180172466604,0.02723849993520352,0.06276234040893955,1.2316796502285212,0.8976511578739338
451,665888,Cristopher Navarro,26.31895961670089,SS,,AAA,397.0,1.434774911923916,0.0073564920226582165,0.01751545719680527,1.230683373414207,0.7347576507129896
452,682725,Cristhian Rodriguez,23.79192334017796,SS,,AAA,695.0,1.0437176193087807,0.005978687257947264,0.014234969661779196,1.2218905007126866,0.6180671041107011
453,686766,William Simoneit,28.982888432580424,1B,,AAA,595.0,3.184042405124158,0.00819466654716661,0.019896911388384925,1.2126360845805493,0.5436150973067557
454,687340,Kiko Romero,25.05407255304586,1B,,AA,387.0,2.451858018355456,0.002766581218123202,3.872331936963894e-06,1.2077281044912993,1.3118739361565044
455,668860,Kale Emshoff,27.43600273785079,C,,AAA,1015.0,-3.5060547277834013,0.020012646525758567,0.04764915839466326,1.1957688375129354,2.4111862809655435
456,681439,Zach Morgan,25.52498288843258,C,,AAA,855.0,0.0966777758515145,0.008132616562252861,0.01936337276726872,1.1950538634476646,1.6760669256570986
457,669714,Brady Whalen,27.72895277207392,2B,,AAA,711.0,1.8125316686409436,0.006774901534909112,0.01613071794025979,1.1930384360779691,1.211308529005698
458,685091,Parker Chavers,27.20602327173169,OF,,AAA,1144.0,1.4881191024168812,0.007762883443933384,0.018483055818889007,1.1902888356646384,0.8755459542560654
459,681941,Jaylen Palmer,25.188227241615333,SS,,AAA,1607.0,0.39511334520239316,0.008096603815535354,0.019277482715416235,1.188936329493266,1.019627624989291
460,694966,Brayden Taylor,23.381245722108144,SS,,AA,1041.0,0.18701876874013293,0.00715400048826562,0.01703318907905973,1.1838468313485901,1.037292333040586
461,800765,Carter Howell,26.666666666666668,OF,,AA,1495.0,0.3815448884762654,0.010854334055183223,0.025843507095530217,1.170052942089465,0.6077457109409123
462,676566,Shawn Ross,26.023271731690624,SS,,AAA,830.0,0.9411674655196114,0.006940587788334244,0.01652520901984344,1.158254916532262,1.0846777218076515
463,672537,Dalvy Rosario,25.21286789869952,OF,,AAA,1151.0,2.2034151705327703,0.0016689537524236895,0.003973699410532593,1.1512057038373598,1.3589634051558064
464,669002,Connor Scott,26.001368925393567,LF,,AA,954.0,0.4784989078373166,0.010049826372717405,0.023889874721948492,1.147989781685783,0.3913452173368214
465,678729,Nelson Medina,25.065023956194388,CF,,AAA,412.0,1.581125698378828,0.005388302957340965,0.012829292755573728,1.1467461752591057,0.44419053804760383
466,667372,Julio E. Rodriguez,28.32580424366872,C,,AA,827.0,2.4938665553982777,0.008520245947200009,0.0202480165659547,1.1445506932683434,0.3166115057208998
467,694378,Jacob Gonzalez,23.359342915811087,SS,,AAA,1248.0,0.9560603751900574,0.0035099328534554273,0.008356982984417685,1.1313971179607023,1.681883664851366
468,667240,Jason Matthews,28.49828884325804,SS,,AAA,936.0,1.0942378038783205,0.011293581096083033,0.0268893333833869,1.1112437687927066,0.6806159924163362
469,687084,Joshua Mears,24.62696783025325,RF,,AA,808.0,0.36732776754047014,0.007329538603335311,0.0174512823888936,1.1097028347708318,0.8848678606014311
470,685474,Felix Stevens,26.193018480492814,OF,,AA,1228.0,0.6857992817095081,0.007659932433714492,0.021473267699320214,1.1055182768491585,0.6903740878986796
471,683104,Trey Faltine,24.747433264887064,SS,,AAA,671.0,1.3395849816808536,0.003970465874731015,0.009453490177930991,1.085698272165226,1.0522782314419081
472,691558,Yeiner Fernandez,23.052703627652292,C,,AA,1717.0,0.3815448884762654,0.0054434428120014545,0.012960432707002196,1.0738711289768215,1.1696413755842574
473,805891,Taylor Young,27.173169062286107,2B,,AA,1804.0,-0.20107415914278198,0.01242354595099322,0.029574517424085348,1.072789264494067,0.5970428442626445
474,691006,Kevin Parada,24.18069815195072,C,,AAA,1376.0,1.3217532498786193,0.0027662271737892664,0.00658625517568873,1.0663734059468646,1.4923082850633895
475,699478,Justin Bench,26.11362080766598,SS,,AAA,324.0,1.0570415843361183,0.005114244916647907,0.011909953697646535,1.0616115064404763,1.519130937534205
476,800370,Eduardo Guerrero,20.416153319644078,SS,,AAA,94.0,1.9894830119081792,0.0007643629424629212,0.0018199117677688598,1.0521256650549085,0.1396666766854017
477,683172,Joe Naranjo,24.410677618069816,1B,,AA,1619.0,0.3815448884762654,0.0068137870077749196,0.016223156982653298,1.0512000909059769,0.8085026914518189
478,672018,Dasan Brown,24.035592060232716,CF,,AAA,1540.0,0.2247182938737587,0.006062585135179088,0.01443472651233116,1.0401650236148148,1.3376397296670457
479,701778,Jace Avina,22.340862422997947,LF,,AA,1330.0,0.39776692536823033,0.004662366835614407,0.01110087341812954,1.0258117044279758,1.220809743221909
480,676545,Anthony Servideo,26.579055441478438,SS,,AAA,849.0,1.6970015156644929,0.004010713489849859,0.009549317832975855,1.023767739913414,1.1324090330161627
481,679938,Yoyner Fajardo,26.507871321013006,OF,,AAA,1249.0,1.5668156650879381,0.003896832513921981,0.009278172652195193,1.0225933122001032,1.3477970731101454
482,684576,Alex Isola,27.21423682409309,C,,AAA,1064.0,1.7637554228106591,0.005208833330797692,0.01124388888285165,1.000004749234129,0.8862025403119669
483,800139,Reylin Perez,21.00752908966461,SS,,AAA,102.0,1.4666714366449392,0.0007643629424629212,0.0018199117677688598,0.9806855982872742,1.0741391164410958
