prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,fb_future,sl_future,cb_future,ch_future,cmd_future,fb_upside,cmd_upside,velocity_sits_low,velocity_sits_high,velocity_tops,velocity_avg,plus_pitch_count,frame_grade,athleticism_grade,arm_grade,delivery_grade,has_tj_surgery,total_ip,era,whip,k_per_9,bb_per_9,k_bb_ratio,total_k,total_bb,total_hr_allowed,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,fb_change,cmd_change,velo_change
8425,2022,Alex McFarlane,DH,sa3020633,0,Bench,35,50.0,60.0,,,40.0,0.0,10.0,93.0,96.0,98.0,94.5000000000000000,1,2.0,2.0,,-2.0,0,,,,,,,,,,0,0,0,1,20,0,0.0,0.0,0.0
9069,2022,Alex Santos II,DH,sa3014684,0,Bench,35,55.0,50.0,55.0,,50.0,10.0,25.0,89.0,93.0,95.0,91.0000000000000000,2,1.0,,,1.0,0,39.800000000000004,3.618090452261306,1.5326633165829144,,6.783919597989949,,,30.0,2.0,0,0,0,2,19,0,0.0,0.0,0.0
8715,2022,Andrew Baker,DH,sa3017196,0,Bench,35,60.0,,60.0,,35.0,0.0,5.0,94.0,98.0,99.0,96.0000000000000000,2,1.0,1.0,,-1.0,0,11.299999999999999,10.353982300884956,1.9469026548672568,,13.53982300884956,,,17.0,1.0,0,0,0,2,21,0,0.0,0.0,0.0
8545,2022,Andrew Moore,DH,sa3016795,0,Bench,35,60.0,50.0,70.0,,40.0,5.0,10.0,93.0,97.0,98.0,95.0000000000000000,2,1.0,,,-1.0,0,17.7,7.627118644067797,2.0338983050847457,,9.152542372881356,,,18.0,2.0,0,0,0,2,21,0,0.0,0.0,0.0
8407,2022,Andrew Morris,SP,sa3020569,0,Bench,35,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,1,19,0,,,
8512,2022,Angel Bastardo,RP,sa3009716,0,Bench,35,55.0,50.0,,50.0,40.0,5.0,10.0,93.0,97.0,98.0,95.0000000000000000,1,,1.0,,-1.0,0,27.8,7.122302158273381,2.050359712230216,,3.884892086330935,,,12.0,1.0,0,0,0,1,19,0,0.0,0.0,0.0
8419,2022,Austin Charles,3B,sa3020497,0,Bench,35,,,,,,,,,,,,0,2.0,,,,0,,,,,,,,,,0,0,0,1,17,0,,,
9186,2022,Austin Smith,DH,sa3017071,0,Bench,35,60.0,,50.0,,40.0,0.0,10.0,94.0,97.0,98.0,95.5000000000000000,1,,,,,0,7.3,4.931506849315069,1.36986301369863,,6.164383561643835,,,5.0,1.0,0,0,0,2,22,0,0.0,0.0,0.0
8339,2022,Carson Palmquist,SP,31612,0,Bench,35,45.0,50.0,,50.0,45.0,0.0,15.0,88.0,92.0,94.0,90.0000000000000000,0,1.0,1.0,,1.0,0,,,,,,,,,,0,0,0,1,20,0,0.0,0.0,0.0
8620,2022,Carson Ragsdale,SP,27508,0,Bench,35,50.0,,60.0,,55.0,5.0,20.0,91.0,95.0,96.0,93.0000000000000000,1,1.0,,,1.0,0,,,,,,,,,,0,0,0,1,,0,0.0,0.0,0.0
